"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202310","1호선","동대문","688","23","11493","2221","9618","6755","14951","12017","20657","20541","19909","23460","18030","26158","20354","29870","24289","29765","27555","26616","29087","25787","29949","24223","30775","23087","28476","22320","25680","22333","17817","21418","15062","14927","13799","13295","10430","12184","4866","9061","555","2415","1","221","0","0","0","0","20231103"
"202310","1호선","동묘앞","208","1","3065","1120","3652","4528","7542","9281","12370","21560","11293","18828","13116","25633","18559","34461","25794","38760","34226","41942","37671","37070","40619","31786","41794","23019","37529","15903","24843","11845","10039","8575","5844","6512","4793","6467","3530","7088","1141","4288","85","1680","1","318","0","0","0","0","20231103"
"202310","1호선","서울역","700","16","8826","9093","13369","60044","42194","111515","75501","226340","70759","157304","67566","85381","86329","78226","96010","87096","94744","86624","74651","76134","107152","84745","118889","86405","174479","95584","220828","95463","123025","66792","89108","48809","87580","44886","59608","29468","29305","14003","2333","2475","2","184","0","0","0","0","20231103"
"202310","1호선","시청","60","1","2408","5020","4325","26689","8093","70011","11102","186809","14674","91258","17236","53117","22743","51680","25560","47710","31914","47308","41924","39671","55857","36221","68607","34333","98579","33203","158616","29295","69239","14841","62691","9941","53963","8943","32319","6830","10655","4416","323","855","0","12","0","0","0","0","20231103"
"202310","1호선","신설동","388","18","9245","2315","9988","8178","21304","22493","31140","52860","22327","32651","19391","22218","21086","19811","23210","19784","25190","20747","23971","19239","25749","20947","30380","22984","39743","24958","49687","30045","20869","22603","13794","15561","12004","15576","8113","13190","3693","9543","289","2263","0","0","0","0","0","0","20231103"
"202310","1호선","제기동","448","7","5314","2366","8806","9208","21955","20451","31517","35543","24463","33576","26711","39734","33942","45607","40460","48269","42746","51159","46264","47210","50348","40099","49163","34649","44044","29134","37332","27247","20420","18290","13198","11999","8806","11327","5390","9756","2210","6382","111","1229","0","0","0","0","0","0","20231103"
"202310","1호선","종각","130","1","4233","5124","4511","27548","7054","102225","11198","254360","13858","147831","19303","66009","27989","64107","33993","55341","43238","54783","54667","45479","68869","40409","83437","41752","151197","45387","214230","46895","97468","23747","83237","12418","83171","9386","59103","6636","25846","4469","773","728","0","1","0","0","0","0","20231103"
"202310","1호선","종로3가","194","3","4315","2918","4333","12912","6246","25968","10669","66949","14904","64501","22725","58663","32185","70364","43916","71423","51135","66401","61616","58626","72867","49596","81193","45783","90527","43392","101823","42314","62891","22416","51317","12692","51704","10795","40298","8197","17819","5315","1243","2017","2","17","0","0","0","0","20231103"
"202310","1호선","종로5가","76","3","2202","3983","3570","16568","6453","42052","10524","95289","15792","66554","25563","64932","39076","69814","50146","66586","57985","61462","65390","56988","70718","48714","74536","43694","92751","39199","101632","34386","53019","19660","37122","10975","32237","8013","20377","6134","6011","3403","274","1030","0","3","0","0","0","0","20231103"
"202310","1호선","청량리(서울시립대입구)","1242","43","11695","3199","17160","15007","44530","19266","54392","37368","36835","36558","33752","39844","37826","45393","43142","48132","45961","50952","47743","49353","53809","48436","58114","46199","53088","46985","44481","52759","24940","35439","19957","22799","15260","20961","9399","17228","3792","11137","182","3587","1","1","0","0","0","0","20231103"
"202310","2호선","강남","146","6","8517","10191","17922","52617","38064","140707","60870","280081","52457","290545","52874","146236","67601","101861","84409","99609","97907","111190","108519","102234","132494","96454","159644","105569","235344","131422","298545","167464","198756","102899","156038","57873","171740","46808","151218","37996","69427","22842","11249","5941","12","223","0","0","0","0","20231103"
"202310","2호선","강변(동서울터미널)","25","5","9106","2338","27634","25868","75208","27431","112407","43739","83962","37085","66726","37294","58851","36289","57531","40892","54067","44721","47859","49746","50083","59080","52916","65768","58015","81043","60754","108425","46913","76514","39679","53542","33172","45316","21736","40483","8799","21962","794","4860","2","169","0","0","0","0","20231103"
"202310","2호선","건대입구","368","7","16292","1948","22236","15534","53085","24512","91708","60057","63296","50919","41487","44175","40552","48211","46552","55312","51758","62236","54038","59830","58496","66142","66594","79713","77171","105863","89031","151751","68031","103415","70950","67370","74772","61963","72390","55095","43605","33917","6570","10389","4","743","0","0","0","0","20231103"
"202310","2호선","교대(법원.검찰청)","19","0","2512","6523","11087","26002","24610","56364","35354","146702","28418","132781","27488","65656","31611","56817","34163","51809","40188","55770","49064","50291","51361","46882","56249","49259","93942","62342","125025","69009","60529","41607","51135","26212","51478","22863","39564","21314","15280","11823","2984","2941","1","39","0","0","0","0","20231103"
"202310","2호선","구로디지털단지","465","23","39446","5363","52903","19549","137534","77729","179261","205675","114579","134302","73411","60010","65500","45395","70115","49299","69972","60299","63755","59192","68174","68050","81328","83322","130182","110770","193444","160915","98153","132764","62665","89109","50940","87537","39422","81120","18475","48623","3076","12987","11","474","0","0","0","0","20231103"
"202310","2호선","구의(광진구청)","58","2","13629","1556","26470","21710","66817","16713","110907","38741","72540","23647","39447","20848","33744","21098","34577","23275","33641","26849","30327","29152","30969","37204","40135","43458","40842","58803","44678","94071","24224","66902","18950","45707","16813","43583","15419","39653","8131","24008","1193","6427","2","278","0","0","0","0","20231103"
"202310","2호선","낙성대(강감찬)","32","0","11689","2251","27067","10663","81243","20552","122473","41271","79044","35661","46044","31148","39672","27272","43054","29271","43208","31443","38366","33165","40286","38561","42564","45926","47117","63362","51247","97589","29607","85942","23791","57314","21639","52767","16764","52203","8703","32662","1302","8195","3","215","0","0","0","0","20231103"
"202310","2호선","당산","31","5","7015","3240","16588","12770","43392","27259","54683","72770","35997","34497","26220","19073","24700","17482","25761","20903","24922","23343","22820","24201","24285","28368","29149","35749","41951","50545","56514","73734","26583","50334","22658","34354","21253","33005","17778","28656","8581","19217","1213","4806","4","229","0","0","0","0","20231103"
"202310","2호선","대림(구로구청)","693","37","34649","3434","28894","10331","65284","21631","91445","50972","62532","36325","41973","34447","36415","36289","37814","35265","37402","35859","34900","35267","37305","43525","40122","53399","44960","62484","51970","68730","26982","52495","19969","41328","15170","49144","10906","43380","5343","21942","719","5445","2","297","0","0","0","0","20231103"
"202310","2호선","도림천","3","0","429","349","1101","803","3151","3210","3434","5285","2131","2127","1697","1576","1870","1500","2280","1672","1628","1621","2160","2003","2340","1801","2584","2164","2747","2421","3490","3158","1514","2521","1031","1713","823","1511","550","1227","231","861","53","222","0","4","0","0","0","0","20231103"
"202310","2호선","동대문역사문화공원(DDP)","252","8","4962","1324","4315","8972","7558","21414","13082","47667","15352","32796","17061","33124","19592","30929","21351","31454","24305","31715","27740","31221","34461","29623","41241","28818","46064","30246","47740","35491","32531","33631","25323","25481","23548","21796","21774","17703","11297","11149","2153","3264","4","113","0","0","0","0","20231103"
"202310","2호선","뚝섬","10","1","3361","2455","8056","16049","18069","38853","25844","130700","17396","89889","15213","43787","17884","37347","22435","39306","26955","40447","31929","38652","41849","39201","54302","38449","83656","41659","134147","50400","68570","28143","47828","15447","43109","13320","28012","11749","11380","7361","1454","2327","0","58","0","0","0","0","20231103"
"202310","2호선","문래","20","0","4277","2279","13840","10542","42758","34472","49203","120494","28401","59365","21438","25958","21748","23335","25703","25016","25824","27184","25460","25085","28680","27020","34927","32197","57694","41050","101725","58355","39016","41329","27213","23438","28794","20620","21713","17814","10719","10617","1367","3186","5","114","0","0","0","0","20231103"
"202310","2호선","방배","3","0","2667","2756","9276","11825","22785","26885","31284","71532","26364","53832","20491","32208","21979","27577","24244","28833","27329","27515","29825","26391","33479","25332","39940","25785","48877","32943","61476","36953","28810","26147","23184","17516","22510","16287","18104","15136","7398","9067","1452","2316","3","18","0","0","0","0","20231103"
"202310","2호선","봉천","76","2","15977","1844","29041","7433","81020","12579","116194","26090","73880","21129","44414","19335","35059","21982","37415","23601","37200","26190","31409","28995","30172","37588","33554","43180","31263","57658","31996","84800","19163","73384","16019","47119","13742","42703","10334","39645","4918","23998","740","7300","4","432","0","0","0","0","20231103"
"202310","2호선","사당","108","6","12214","4238","27306","40249","73033","51603","98693","71119","76900","53176","50898","46139","47829","56248","53072","57288","56320","54486","61320","54829","64031","64961","67865","86425","80523","124301","97094","166104","70814","117062","67556","72439","70485","67451","64017","63503","36211","39599","5329","10383","9","578","0","0","0","0","20231103"
"202310","2호선","삼성(무역센터)","134","1","4276","5064","7102","42761","14423","135635","19668","323277","21485","243543","25823","114781","38255","84317","49892","75957","65471","81890","78787","73035","99008","59722","127428","57952","216471","61866","290373","57909","146942","32529","117354","18864","93930","15730","57928","11387","16260","6483","2224","4307","1","819","0","0","0","0","20231103"
"202310","2호선","상왕십리","60","1","5858","852","13593","5824","39760","12667","64254","29851","36693","18525","24349","13957","21378","13098","22948","14979","21183","16469","19246","18248","20500","21675","21814","26267","25406","35629","26088","53819","18543","36500","12119","24279","10592","22676","7306","20887","3135","13192","403","3682","0","44","0","0","0","0","20231103"
"202310","2호선","서울대입구(관악구청)","4666","19","27767","2739","43879","14357","123368","28433","165376","69635","115704","64100","70600","56693","63054","47302","69165","51184","72492","56715","65267","56683","68874","66775","74921","79463","83306","106986","90654","165069","53489","138940","46239","87397","46196","82919","41090","78729","22397","48668","3383","18596","0","2603","0","0","0","0","20231103"
"202310","2호선","서초","9","1","2248","4283","13539","21443","21324","53127","29329","108479","29849","90841","22530","44127","29971","36212","27452","26295","35507","26618","35090","25441","40942","21203","47370","22776","71237","25911","91274","25897","44549","18551","31244","11884","31032","10871","17445","10401","6239","5497","839","1311","1","23","0","0","0","0","20231103"
"202310","2호선","선릉","210","6","4700","6217","11583","42946","21651","112613","34253","257997","34073","211560","38256","103755","47437","65682","57389","60911","67252","68374","76060","55508","96565","49703","121533","48685","193613","55771","276435","57757","139966","36220","87755","22803","83235","20459","68351","17715","24786","10597","3480","4182","3","250","0","0","0","0","20231103"
"202310","2호선","성수","65","1","5641","3640","9579","32728","22419","68198","30236","237831","24175","148595","22740","82899","27474","70872","35255","73790","43810","78796","53338","76623","66910","74442","85791","72617","135823","73935","238760","77386","118135","44280","87608","22914","74060","18129","51571","15206","21445","12315","2805","6056","5","733","0","0","0","0","20231103"
"202310","2호선","시청","59","0","865","1980","2512","18527","5365","65557","8852","202967","12965","86920","18609","34530","23966","31816","24346","30438","30104","32635","36593","28675","45517","26348","55918","25163","104000","25910","161621","25064","62971","13132","49789","8418","44540","8103","25923","7308","10510","4814","1215","1367","0","60","0","0","0","0","20231103"
"202310","2호선","신답","13","0","1166","201","1740","588","5982","922","10989","1736","4601","1089","2689","1170","2274","1309","2160","1499","2228","1733","1913","1906","1809","2747","2151","3682","2163","4736","2138","9644","1029","6443","625","3454","486","3583","489","2772","144","1835","24","418","0","0","0","0","0","0","20231103"
"202310","2호선","신당","30","0","6350","1261","11593","8796","28170","15947","47676","30794","29084","22641","20624","18932","19690","20712","23228","22222","23377","23777","23196","23864","24579","26753","28233","30674","31753","39570","32991","54421","23168","36154","18213","23787","16566","20874","14888","19079","7837","11573","1215","3379","1","49","0","0","0","0","20231103"
"202310","2호선","신대방","265","1","25193","2157","34405","9841","88149","15396","128937","24905","83193","19311","48915","19250","38964","20017","39857","22935","37686","27070","32487","30737","32546","40841","33689","48668","34590","64720","33453","91773","20559","83144","15996","58010","12687","61759","10347","53714","5005","31365","865","8230","2","404","0","0","0","0","20231103"
