지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
108,서울,1907,,,25.4,1907-10-05,,-20.1,1907-12-23
108,서울,1908,10.4,15.7,33.6,1908-08-06,5.8,-15.8,1908-02-07
108,서울,1909,10.6,16.0,35.6,1909-08-08,5.8,-14.6,1909-12-26
108,서울,1910,10.3,15.9,33.3,1910-07-30,5.7,-19.9,1910-01-31
108,서울,1911,10.6,15.9,34.5,1911-08-12,6.0,-21.5,1911-01-13
108,서울,1912,10.1,15.6,34.0,1912-08-05,5.1,-18.6,1912-12-24
108,서울,1913,10.0,15.6,31.7,1913-08-08,4.9,-19.6,1913-02-09
108,서울,1914,12.0,17.0,35.6,1914-07-26,7.7,-14.0,1914-01-08
108,서울,1915,10.8,15.8,34.8,1915-08-03,6.6,-21.3,1915-01-14
108,서울,1916,10.9,16.5,33.2,1916-07-30,6.4,-19.0,1916-12-26
108,서울,1917,9.8,15.5,36.7,1917-06-16,4.8,-21.1,1917-01-22
108,서울,1918,10.5,16.1,36.1,1918-07-25,5.6,-21.8,1918-01-03
108,서울,1919,11.1,16.8,37.5,1919-08-01,6.0,-19.3,1919-12-30
108,서울,1920,11.4,16.9,35.6,1920-06-30,6.3,-22.3,1920-01-04
108,서울,1921,10.9,16.4,36.0,1921-08-15,6.1,-15.3,1921-01-09
108,서울,1922,10.8,16.3,36.3,1922-08-16,5.9,-21.0,1922-01-20
108,서울,1923,10.6,15.9,35.9,1923-08-06,5.7,-20.4,1923-01-02
108,서울,1924,11.0,16.6,37.4,1924-08-09,5.8,-18.7,1924-01-27
108,서울,1925,10.7,15.9,33.7,1925-07-27,5.8,-17.4,1925-12-30
108,서울,1926,10.5,15.6,33.0,1926-08-15,5.6,-18.6,1926-01-03
108,서울,1927,11.0,16.3,35.0,1927-07-28,5.9,-23.1,1927-12-31
108,서울,1928,11.1,16.6,35.2,1928-08-14,5.9,-22.2,1928-01-05
108,서울,1929,11.4,17.3,36.7,1929-08-12,6.2,-17.5,1929-01-07
108,서울,1930,11.8,17.4,37.4,1930-08-11,6.6,-17.4,1930-01-06
108,서울,1931,10.9,16.7,36.0,1931-08-09,6.3,-22.5,1931-01-11
108,서울,1932,11.6,17.5,37.2,1932-08-02,7.2,-14.1,1932-02-17
108,서울,1933,10.5,15.5,35.9,1933-07-21,6.4,-18.4,1933-01-27
108,서울,1934,10.1,15.1,33.4,1934-08-07,5.8,-18.7,1934-01-12
