"행정구역","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0세","2022년_계_1세","2022년_계_2세","2022년_계_3세","2022년_계_4세","2022년_계_5세","2022년_계_6세","2022년_계_7세","2022년_계_8세","2022년_계_9세","2022년_계_10세","2022년_계_11세","2022년_계_12세","2022년_계_13세","2022년_계_14세","2022년_계_15세","2022년_계_16세","2022년_계_17세","2022년_계_18세","2022년_계_19세","2022년_계_20세","2022년_계_21세","2022년_계_22세","2022년_계_23세","2022년_계_24세","2022년_계_25세","2022년_계_26세","2022년_계_27세","2022년_계_28세","2022년_계_29세","2022년_계_30세","2022년_계_31세","2022년_계_32세","2022년_계_33세","2022년_계_34세","2022년_계_35세","2022년_계_36세","2022년_계_37세","2022년_계_38세","2022년_계_39세","2022년_계_40세","2022년_계_41세","2022년_계_42세","2022년_계_43세","2022년_계_44세","2022년_계_45세","2022년_계_46세","2022년_계_47세","2022년_계_48세","2022년_계_49세","2022년_계_50세","2022년_계_51세","2022년_계_52세","2022년_계_53세","2022년_계_54세","2022년_계_55세","2022년_계_56세","2022년_계_57세","2022년_계_58세","2022년_계_59세","2022년_계_60세","2022년_계_61세","2022년_계_62세","2022년_계_63세","2022년_계_64세","2022년_계_65세","2022년_계_66세","2022년_계_67세","2022년_계_68세","2022년_계_69세","2022년_계_70세","2022년_계_71세","2022년_계_72세","2022년_계_73세","2022년_계_74세","2022년_계_75세","2022년_계_76세","2022년_계_77세","2022년_계_78세","2022년_계_79세","2022년_계_80세","2022년_계_81세","2022년_계_82세","2022년_계_83세","2022년_계_84세","2022년_계_85세","2022년_계_86세","2022년_계_87세","2022년_계_88세","2022년_계_89세","2022년_계_90세","2022년_계_91세","2022년_계_92세","2022년_계_93세","2022년_계_94세","2022년_계_95세","2022년_계_96세","2022년_계_97세","2022년_계_98세","2022년_계_99세","2022년_계_100세 이상"
"전국  (0000000000)","51,439,038","51,439,038","244,250","264,788","277,529","307,975","333,048","364,198","413,162","444,843","441,044","441,805","490,147","476,573","473,924","448,369","468,939","495,811","449,473","435,582","472,622","491,756","492,919","557,252","636,829","617,553","637,288","668,523","682,511","705,293","711,089","707,924","722,983","700,514","639,276","629,734","624,750","616,573","626,297","650,702","659,616","745,066","818,283","835,767","832,233","822,634","717,332","773,557","756,452","783,135","849,550","884,174","884,382","930,911","905,532","910,099","911,148","846,623","800,255","833,964","815,151","773,999","858,519","888,491","895,275","824,401","751,351","742,721","668,109","689,415","583,609","501,648","550,772","398,258","421,478","422,400","415,348","413,907","325,370","285,353","299,045","293,786","350,271","279,594","237,547","234,383","201,554","176,508","154,677","136,960","112,084","87,015","72,642","53,296","43,035","34,541","25,792","18,748","11,404","8,133","5,402","4,752","7,733"
"서울특별시  (1100000000)","9,428,372","9,428,372","40,742","43,950","44,177","48,120","50,630","55,088","62,376","66,960","66,454","66,820","74,250","71,693","73,139","69,481","73,939","78,832","72,618","70,496","78,443","86,227","88,938","101,673","123,683","126,585","137,495","150,334","158,184","165,476","169,261","167,854","169,713","163,226","146,699","140,897","138,162","131,564","130,500","132,133","130,213","142,701","151,071","152,769","150,980","149,020","127,065","138,082","135,725","138,672","150,318","156,004","159,122","167,241","161,616","158,987","154,862","144,507","132,474","140,811","139,968","133,214","143,794","147,097","151,898","142,472","132,670","132,104","119,972","126,652","107,089","94,039","102,029","70,901","78,774","79,086","77,691","78,998","63,299","54,985","54,982","52,751","61,301","48,198","39,920","38,021","32,121","27,784","23,610","20,869","16,429","12,956","10,670","7,810","6,511","5,459","4,086","3,043","1,858","1,232","921","764","1,292"
"부산광역시  (2600000000)","3,317,812","3,317,812","13,792","14,862","15,580","17,495","19,543","21,678","24,621","26,654","26,284","25,868","28,577","27,619","27,072","24,848","26,096","27,455","24,694","24,296","26,619","28,658","28,925","33,934","39,972","39,322","40,266","41,542","42,681","42,629","43,162","42,965","43,858","42,443","38,030","38,426","37,348","36,411","36,814","38,202","39,601","45,294","49,830","52,607","52,721","51,638","44,279","46,593","44,638","47,658","51,172","53,606","54,202","56,605","56,123","56,577","57,238","54,784","50,959","53,075","52,161","51,998","59,427","62,771","64,464","59,841","56,297","57,145","52,427","55,889","46,520","41,078","44,163","35,170","34,464","34,852","34,140","32,515","25,349","21,421","23,666","22,978","25,078","20,325","17,456","16,291","13,357","11,470","9,815","8,421","6,825","5,110","4,239","3,204","2,303","2,009","1,559","1,152","626","464","287","238","406"
"대구광역시  (2700000000)","2,363,691","2,363,691","9,994","11,014","11,667","13,672","14,875","16,661","19,272","20,328","20,244","20,003","22,295","21,596","21,477","20,077","21,272","22,832","20,608","20,651","22,293","24,431","23,387","27,275","31,066","29,841","29,348","30,744","30,637","31,251","30,532","30,282","31,003","29,976","27,153","27,426","25,507","25,809","26,342","27,195","27,344","31,702","35,428","36,601","36,512","36,816","31,576","35,006","34,697","36,701","39,190","41,275","42,324","43,800","42,926","43,499","44,662","42,201","38,525","40,509","39,455","37,241","41,754","43,048","41,032","40,463","33,670","35,004","31,958","32,473","26,838","25,100","27,227","20,729","20,328","21,019","20,816","19,311","13,649","12,211","14,319","14,550","16,130","13,011","10,912","10,860","8,937","7,876","6,833","6,004","4,862","3,673","3,083","2,220","1,632","1,230","975","689","399","293","167","142","238"
"인천광역시  (2800000000)","2,967,314","2,967,314","14,617","15,716","16,671","18,560","19,985","21,355","24,242","26,212","25,777","25,807","28,346","28,211","27,564","26,188","27,018","29,056","25,823","25,104","27,024","28,406","28,010","31,727","35,807","35,305","36,591","39,272","40,325","42,206","43,279","44,004","45,005","43,769","39,726","38,709","38,161","37,120","37,881","39,443","40,085","45,363","49,545","51,238","50,374","49,707","43,041","46,030","44,115","46,579","49,449","51,770","51,815","53,888","52,747","53,018","53,387","49,478","47,302","50,518","50,196","47,302","52,149","52,547","52,624","47,460","43,715","41,631","36,403","37,156","30,824","25,954","28,378","18,407","20,692","21,064","20,339","20,682","16,663","13,925","14,053","13,896","16,065","12,768","10,581","10,516","9,276","7,894","7,139","6,228","5,085","4,104","3,395","2,644","2,089","1,717","1,274","994","596","437","310","248","423"
"광주광역시  (2900000000)","1,431,050","1,431,050","7,333","8,099","7,980","9,120","9,967","10,974","12,717","13,470","13,566","13,751","15,298","14,709","15,013","14,325","14,828","16,112","14,540","14,157","15,427","16,448","16,235","18,754","21,133","19,943","20,157","20,896","20,465","21,021","20,287","19,728","19,959","18,698","16,688","16,365","16,112","16,195","16,573","17,503","18,310","21,014","23,299","23,321","23,284","23,785","20,764","22,696","22,543","22,341","25,195","25,512","25,566","26,505","25,751","24,489","25,682","23,259","22,416","22,322","20,940","20,949","20,822","21,188","22,878","20,488","18,215","17,824","15,119","16,056","13,317","11,425","12,828","10,352","10,800","11,210","10,253","10,785","8,494","7,449","7,283","6,615","8,966","6,918","5,644","5,356","4,717","4,155","3,284","3,068","2,646","1,928","1,580","1,171","1,079","821","564","398","279","192","97","124","173"
"대전광역시  (3000000000)","1,446,072","1,446,072","7,651","7,924","7,922","8,752","9,364","10,555","11,861","12,762","12,604","12,838","13,924","13,852","13,689","13,148","13,938","14,916","13,640","13,212","14,747","15,222","15,481","17,840","20,595","20,154","20,813","21,671","21,862","22,237","21,902","21,332","21,385","20,552","18,808","18,112","17,779","17,543","17,621","18,066","18,008","20,117","22,314","22,917","22,645","22,436","20,424","21,842","21,857","22,211","24,270","25,738","25,160","26,637","25,571","26,310","26,384","23,493","21,511","22,291","22,010","19,893","23,311","24,461","24,070","21,883","19,371","19,692","17,932","18,052","15,700","12,783","13,717","10,165","11,041","10,699","10,473","9,794","7,791","7,048","7,319","7,082","8,562","6,713","5,174","5,653","4,830","4,130","3,697","3,157","2,651","2,074","1,726","1,268","1,014","774","632","449","251","199","131","109","181"
"울산광역시  (3100000000)","1,110,663","1,110,663","5,275","6,071","6,433","7,279","7,907","8,892","10,262","11,043","11,010","10,889","11,960","11,389","11,369","10,739","11,142","11,836","10,367","10,094","10,694","10,612","10,139","11,728","12,918","12,388","12,583","13,317","13,700","14,178","14,142","14,116","14,375","14,335","13,146","13,470","12,972","13,012","13,403","13,872","14,568","16,482","18,548","19,130","19,331","18,799","16,345","17,506","16,629","17,214","18,662","19,466","19,683","21,055","20,794","21,321","21,958","20,934","20,087","20,923","19,669","18,264","20,286","20,999","20,140","18,354","16,647","15,886","14,361","14,347","11,752","10,581","10,544","8,151","7,947","7,568","7,474","6,826","4,986","4,190","4,626","4,604","5,209","3,720","3,360","3,071","2,646","2,218","1,923","1,717","1,463","1,139","915","694","483","436","306","227","133","104","82","62","61"
"세종특별자치시  (3600000000)","383,591","383,591","3,100","3,611","3,655","4,114","4,484","4,889","5,383","5,769","5,510","5,436","5,955","5,591","5,518","5,203","5,290","5,044","4,516","4,022","4,065","3,798","3,460","3,480","3,740","3,497","3,560","3,509","3,772","4,125","4,543","4,693","5,337","5,577","5,400","5,565","5,974","6,050","6,359","6,495","6,776","7,550","8,675","8,610","8,408","8,505","6,985","7,452","6,978","6,856","7,096","6,939","6,388","6,580","5,999","5,632","5,469","4,786","4,317","4,357","4,337","3,802","4,355","4,491","4,372","3,962","3,606","3,545","3,235","3,316","2,767","2,139","2,439","1,678","1,893","1,880","1,651","1,590","1,231","1,079","1,159","1,105","1,339","1,114","883","953","805","701","688","648","521","427","359","260","224","185","137","89","65","34","19","26","35"
"경기도  (4100000000)","13,589,432","13,589,432","74,114","79,007","82,889","91,427","98,890","107,169","121,360","130,212","128,532","127,354","141,467","136,623","135,444","128,174","133,764","139,406","126,558","120,514","130,552","135,224","133,781","149,637","171,162","165,765","172,704","181,324","183,257","191,458","194,041","194,162","200,871","196,597","179,777","178,091","179,106","176,601","179,666","188,011","189,255","214,325","235,051","240,847","238,351","234,605","203,558","219,239","213,675","219,525","235,838","243,914","244,300","255,375","246,512","245,630","241,386","221,240","209,494","218,023","213,611","197,851","216,420","218,683","218,068","196,529","180,629","171,793","152,965","155,197","130,183","110,495","121,408","78,856","87,712","87,419","87,110","88,222","71,643","62,563","62,637","61,093","71,006","57,572","48,765","47,573","41,465","36,503","31,885","28,242","22,918","17,792","14,898","10,901","9,047","7,305","5,503","3,939","2,474","1,779","1,206","1,013","1,725"
