"행정구역","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0세","2021년_남_1세","2021년_남_2세","2021년_남_3세","2021년_남_4세","2021년_남_5세","2021년_남_6세","2021년_남_7세","2021년_남_8세","2021년_남_9세","2021년_남_10세","2021년_남_11세","2021년_남_12세","2021년_남_13세","2021년_남_14세","2021년_남_15세","2021년_남_16세","2021년_남_17세","2021년_남_18세","2021년_남_19세","2021년_남_20세","2021년_남_21세","2021년_남_22세","2021년_남_23세","2021년_남_24세","2021년_남_25세","2021년_남_26세","2021년_남_27세","2021년_남_28세","2021년_남_29세","2021년_남_30세","2021년_남_31세","2021년_남_32세","2021년_남_33세","2021년_남_34세","2021년_남_35세","2021년_남_36세","2021년_남_37세","2021년_남_38세","2021년_남_39세","2021년_남_40세","2021년_남_41세","2021년_남_42세","2021년_남_43세","2021년_남_44세","2021년_남_45세","2021년_남_46세","2021년_남_47세","2021년_남_48세","2021년_남_49세","2021년_남_50세","2021년_남_51세","2021년_남_52세","2021년_남_53세","2021년_남_54세","2021년_남_55세","2021년_남_56세","2021년_남_57세","2021년_남_58세","2021년_남_59세","2021년_남_60세","2021년_남_61세","2021년_남_62세","2021년_남_63세","2021년_남_64세","2021년_남_65세","2021년_남_66세","2021년_남_67세","2021년_남_68세","2021년_남_69세","2021년_남_70세","2021년_남_71세","2021년_남_72세","2021년_남_73세","2021년_남_74세","2021년_남_75세","2021년_남_76세","2021년_남_77세","2021년_남_78세","2021년_남_79세","2021년_남_80세","2021년_남_81세","2021년_남_82세","2021년_남_83세","2021년_남_84세","2021년_남_85세","2021년_남_86세","2021년_남_87세","2021년_남_88세","2021년_남_89세","2021년_남_90세","2021년_남_91세","2021년_남_92세","2021년_남_93세","2021년_남_94세","2021년_남_95세","2021년_남_96세","2021년_남_97세","2021년_남_98세","2021년_남_99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0세","2021년_여_1세","2021년_여_2세","2021년_여_3세","2021년_여_4세","2021년_여_5세","2021년_여_6세","2021년_여_7세","2021년_여_8세","2021년_여_9세","2021년_여_10세","2021년_여_11세","2021년_여_12세","2021년_여_13세","2021년_여_14세","2021년_여_15세","2021년_여_16세","2021년_여_17세","2021년_여_18세","2021년_여_19세","2021년_여_20세","2021년_여_21세","2021년_여_22세","2021년_여_23세","2021년_여_24세","2021년_여_25세","2021년_여_26세","2021년_여_27세","2021년_여_28세","2021년_여_29세","2021년_여_30세","2021년_여_31세","2021년_여_32세","2021년_여_33세","2021년_여_34세","2021년_여_35세","2021년_여_36세","2021년_여_37세","2021년_여_38세","2021년_여_39세","2021년_여_40세","2021년_여_41세","2021년_여_42세","2021년_여_43세","2021년_여_44세","2021년_여_45세","2021년_여_46세","2021년_여_47세","2021년_여_48세","2021년_여_49세","2021년_여_50세","2021년_여_51세","2021년_여_52세","2021년_여_53세","2021년_여_54세","2021년_여_55세","2021년_여_56세","2021년_여_57세","2021년_여_58세","2021년_여_59세","2021년_여_60세","2021년_여_61세","2021년_여_62세","2021년_여_63세","2021년_여_64세","2021년_여_65세","2021년_여_66세","2021년_여_67세","2021년_여_68세","2021년_여_69세","2021년_여_70세","2021년_여_71세","2021년_여_72세","2021년_여_73세","2021년_여_74세","2021년_여_75세","2021년_여_76세","2021년_여_77세","2021년_여_78세","2021년_여_79세","2021년_여_80세","2021년_여_81세","2021년_여_82세","2021년_여_83세","2021년_여_84세","2021년_여_85세","2021년_여_86세","2021년_여_87세","2021년_여_88세","2021년_여_89세","2021년_여_90세","2021년_여_91세","2021년_여_92세","2021년_여_93세","2021년_여_94세","2021년_여_95세","2021년_여_96세","2021년_여_97세","2021년_여_98세","2021년_여_99세","2021년_여_100세 이상"
"전국  (0000000000)","25,746,684","25,746,684","130,157","140,556","157,219","170,362","187,131","211,132","227,809","225,794","226,216","251,422","244,496","244,306","230,854","241,299","254,965","232,432","225,651","245,153","255,090","257,103","289,873","332,665","322,037","333,101","346,499","358,584","372,904","378,413","376,467","381,139","366,833","338,994","327,738","326,349","315,693","325,036","334,799","338,287","381,281","417,701","427,947","425,324","416,010","371,414","389,796","388,027","396,166","435,380","445,544","454,640","476,689","462,216","460,679","459,043","420,160","419,199","419,609","414,323","395,997","438,384","444,152","444,506","409,590","376,715","371,126","330,601","334,184","288,349","242,913","266,609","191,782","202,039","201,530","197,798","193,404","152,555","130,902","133,003","128,468","151,920","118,466","97,825","94,687","79,328","67,669","57,236","48,748","38,450","28,852","22,967","15,965","11,988","10,017","6,950","4,889","2,989","2,067","1,628","1,456","902","1,372","25,892,125","25,892,125","123,789","134,077","148,901","161,795","176,482","201,607","216,746","215,072","215,456","238,627","232,040","229,691","217,627","227,802","241,116","217,406","210,444","228,312","237,176","236,353","268,075","304,890","296,180","304,992","323,010","324,795","333,331","333,672","332,422","342,874","334,702","301,230","303,134","299,445","301,943","302,395","317,180","322,583","365,496","402,616","409,981","409,252","408,966","348,009","386,132","370,981","389,814","417,516","442,284","433,609","458,487","447,561","453,936","456,935","431,116","385,701","419,385","406,085","383,404","426,302","451,084","457,861","421,761","381,394","378,560","344,189","362,413","301,923","265,096","291,686","212,572","226,346","228,682","225,785","229,774","180,894","162,531","175,447","176,219","213,433","174,769","153,159","154,994","137,066","123,862","112,809","103,560","87,826","71,288","61,920","47,831","40,711","32,985","26,070","19,841","12,718","9,521","6,300","5,819","3,897","6,589"
"서울특별시  (1100000000)","4,618,040","4,618,040","22,335","23,084","25,455","26,695","28,490","32,189","34,536","34,238","34,535","38,207","36,852","37,418","35,796","38,194","40,612","37,724","36,459","40,369","41,644","42,623","47,716","55,882","55,867","60,736","65,689","71,052","77,483","82,155","83,101","84,849","82,154","75,432","71,842","70,966","66,731","67,162","67,773","66,644","73,082","76,977","78,313","76,425","74,054","64,812","68,054","68,521","69,118","76,216","77,440","80,418","84,749","81,306","80,062","77,404","70,724","68,988","69,882","69,995","67,176","72,471","72,098","73,586","69,405","64,666","64,112","57,669","60,111","51,708","44,997","48,762","33,927","37,600","37,364","36,746","36,747","29,447","25,731","25,593","24,496","28,857","22,376","18,054","17,011","14,111","11,767","9,744","8,388","6,296","4,890","3,887","2,692","2,102","1,823","1,294","933","564","391","323","330","185","381","4,891,418","4,891,418","21,075","21,820","23,445","24,750","27,389","30,798","33,045","32,685","32,639","36,273","35,059","35,561","34,002","36,032","38,353","35,377","34,209","38,116","39,710","42,026","49,767","60,358","61,836","68,776","76,450","80,514","83,873","85,156","84,749","86,268","83,725","74,009","72,145","70,567","68,430","66,758","67,939","66,656","72,645","77,642","77,453","77,102","77,342","64,096","71,915","69,195","71,615","76,382","81,086","81,223","85,494","83,126","81,880","80,403","76,744","66,294","73,836","72,991","69,097","74,572","78,454","81,979","76,313","71,012","71,037","65,203","69,639","57,962","51,462","55,747","38,841","43,419","44,004","43,312","44,609","35,946","31,258","31,550","30,705","35,648","28,503","24,387","23,773","20,663","18,493","16,412","14,999","12,353","10,169","8,733","6,857","5,932","4,985","4,030","3,167","2,053","1,441","1,056","927","650","1,262"
"부산광역시  (2600000000)","1,639,044","1,639,044","7,259","7,880","8,844","9,947","11,093","12,486","13,667","13,561","13,266","14,741","14,021","13,922","12,856","13,428","14,184","12,798","12,551","13,691","14,831","14,797","16,998","19,701","20,092","21,181","21,880","23,246","23,021","23,141","23,059","23,051","22,241","20,321","19,971","19,338","18,433","19,312","19,607","20,281","23,025","25,418","26,815","26,908","26,078","23,069","23,543","22,817","24,005","26,001","26,751","27,522","28,216","28,046","27,919","28,100","26,156","25,989","25,579","25,591","25,639","29,068","29,856","30,829","28,590","27,282","27,633","25,249","25,995","23,173","19,303","21,004","16,642","16,361","16,208","16,006","15,003","11,995","9,995","10,817","10,512","11,153","8,802","7,393","6,770","5,392","4,573","3,709","2,992","2,358","1,769","1,336","983","642","588","406","243","161","106","81","56","64","62","1,711,336","1,711,336","6,853","7,414","8,492","9,473","10,523","12,080","12,936","12,665","12,569","13,862","13,578","13,189","12,015","12,733","13,371","12,040","11,735","12,972","13,529","13,864","16,195","19,033","18,929","19,819","20,858","20,883","21,000","21,144","20,844","21,474","20,646","18,228","18,887","18,241","18,192","17,767","18,698","19,527","22,543","24,624","26,039","26,063","25,850","21,503","23,355","22,121","23,977","25,633","27,221","27,120","28,917","28,563","29,202","29,699","29,174","25,458","28,139","27,276","26,984","31,053","33,769","34,516","32,144","29,823","30,329","28,025","30,742","24,132","22,519","23,965","19,290","18,796","19,456","18,972","18,377","14,133","12,113","13,687","13,499","15,113","12,669","11,178","10,780","9,015","8,052","7,132","6,449","5,456","4,250","3,716","2,901","2,246","1,961","1,620","1,277","705","566","353","297","201","340"
"대구광역시  (2700000000)","1,175,632","1,175,632","5,393","5,825","7,009","7,419","8,464","9,694","10,377","10,289","10,119","11,391","11,045","11,078","10,396","11,018","11,693","10,793","10,862","11,730","12,771","12,504","14,312","16,339","15,992","16,140","16,791","17,044","17,421","16,906","16,607","16,932","16,221","14,994","14,809","13,944","13,636","14,173","14,179","14,078","15,891","17,527","18,247","18,210","17,993","16,084","17,235","17,503","17,950","19,584","20,111","21,045","21,706","21,302","21,233","22,246","20,400","19,874","19,608","19,545","18,606","20,849","21,131","19,991","19,523","16,794","17,238","15,661","15,072","13,172","11,649","12,618","9,685","9,557","9,760","9,448","8,637","6,255","5,379","6,149","6,205","7,004","5,349","4,380","4,343","3,496","2,992","2,586","2,149","1,735","1,259","1,050","682","434","339","262","176","99","90","53","43","19","31","1,209,780","1,209,780","5,015","5,546","6,425","7,224","8,037","9,257","9,839","9,878","9,794","10,828","10,474","10,268","9,711","10,218","11,186","9,968","9,836","10,647","11,518","10,821","12,758","14,673","14,257","14,167","15,228","14,938","15,080","14,507","14,290","14,539","14,063","12,397","12,822","11,659","12,235","12,210","13,013","13,316","15,792","17,906","18,447","18,394","18,895","15,596","17,871","17,446","18,965","19,915","21,475","21,589","22,501","22,035","22,694","22,894","22,275","19,150","21,356","20,433","19,170","21,567","22,555","21,683","21,581","17,397","18,314","16,885","17,896","14,135","13,890","15,106","11,478","11,211","11,741","11,777","11,147","7,787","7,200","8,647","8,922","9,839","8,285","7,201","7,253","6,115","5,625","4,951","4,545","3,833","3,016","2,618","1,995","1,611","1,221","996","763","456","356","220","181","126","214"
"인천광역시  (2800000000)","1,476,373","1,476,373","7,495","8,201","9,296","9,975","10,777","12,079","13,284","13,018","13,004","14,425","14,370","14,061","13,397","13,669","14,755","13,322","12,903","13,800","14,566","14,547","16,379","18,524","18,393","18,926","19,926","20,802","21,970","22,845","22,957","23,112","22,575","20,592","19,680","19,474","18,534","19,220","20,100","20,243","22,845","25,016","26,173","25,633","25,406","21,977","23,267","22,683","23,654","25,406","25,799","26,524","27,213","26,656","26,200","26,137","24,172","23,949","25,193","25,144","24,085","26,381","26,684","26,388","23,877","21,954","20,771","18,110","18,161","15,114","12,631","13,967","8,940","10,158","10,144","9,842","9,572","7,773","6,419","6,311","6,213","6,839","5,285","4,315","4,183","3,576","2,936","2,542","2,216","1,663","1,271","976","720","514","461","325","270","151","85","84","99","40","84","1,472,002","1,472,002","7,108","7,793","8,609","9,436","10,064","11,689","12,543","12,413","12,489","13,686","13,560","13,240","12,653","13,216","14,095","12,420","12,199","13,062","13,852","13,444","15,254","17,190","16,714","17,551","19,095","19,283","20,073","20,246","20,536","21,275","20,464","18,441","18,259","17,802","17,728","17,830","18,681","19,072","21,785","23,750","24,340","24,154","23,872","20,769","22,453","21,192","22,717","23,890","25,861","25,296","26,595","26,047","26,712","27,311","25,454","23,448","25,541","25,219","23,445","26,067","26,219","26,510","23,840","21,935","21,074","18,526","19,256","15,932","13,524","14,655","9,627","10,737","11,209","10,860","11,488","9,247","7,826","8,084","8,138","9,817","8,057","6,801","6,992","6,294","5,514","5,247","4,718","3,970","3,365","2,932","2,363","2,013","1,652","1,251","1,000","665","516","368","270","194","333"
"광주광역시  (2900000000)","713,015","713,015","3,979","3,924","4,510","5,111","5,643","6,355","7,004","6,930","7,059","8,001","7,599","7,721","7,406","7,605","8,371","7,597","7,334","8,041","8,774","8,409","9,761","11,166","10,596","10,817","11,245","11,095","11,134","10,901","10,508","10,558","9,809","8,847","8,455","8,275","8,274","8,411","8,886","9,319","10,743","11,764","11,720","11,597","11,718","10,467","11,218","11,357","11,183","12,666","12,618","12,839","13,228","12,949","12,274","12,804","11,564","11,539","11,040","10,612","10,508","10,465","10,480","11,175","9,947","8,847","8,675","7,441","7,717","6,383","5,356","6,004","4,840","5,033","5,117","4,725","4,806","3,947","3,363","3,242","2,906","4,037","2,915","2,300","2,204","1,924","1,618","1,216","1,096","924","633","503","349","271","274","143","110","67","40","26","22","14","22","728,596","728,596","3,840","3,874","4,466","4,761","5,241","6,190","6,543","6,631","6,690","7,313","7,143","7,278","6,929","7,227","7,742","7,055","6,826","7,445","7,976","7,926","9,005","10,237","9,946","10,015","10,340","10,003","10,392","9,692","9,486","9,575","9,052","7,957","7,949","7,821","7,958","8,178","8,600","8,977","10,328","11,586","11,681","11,738","12,161","10,397","11,586","11,286","11,293","12,681","13,008","12,953","13,429","13,103","12,446","13,155","11,953","11,160","11,585","10,601","10,664","10,685","11,057","12,062","10,895","9,653","9,468","7,900","8,624","7,152","6,251","7,037","5,681","5,970","6,307","5,720","6,209","4,756","4,287","4,272","3,957","5,372","4,351","3,691","3,477","3,168","2,884","2,429","2,314","2,039","1,603","1,347","1,052","1,035","765","579","416","298","224","125","161","95","155"
"대전광역시  (3000000000)","724,626","724,626","3,812","4,011","4,329","4,759","5,425","6,084","6,596","6,555","6,562","7,162","7,199","7,056","6,799","7,208","7,648","7,126","6,911","7,718","7,878","7,984","8,905","10,084","10,309","10,832","11,161","11,596","11,964","11,696","11,539","11,578","10,863","10,265","9,724","9,745","9,175","9,353","9,422","9,249","10,300","11,282","11,606","11,382","11,242","10,291","10,809","10,889","11,105","12,228","12,692","12,828","13,567","13,087","13,201","13,120","11,639","11,240","11,148","11,110","10,018","11,837","12,155","11,825","10,731","9,676","9,851","8,903","8,753","7,570","6,261","6,681","4,919","5,346","5,134","4,946","4,630","3,697","3,274","3,276","3,111","3,806","2,886","2,139","2,337","1,961","1,664","1,346","1,150","937","737","590","381","304","209","177","131","71","58","35","20","19","26","727,625","727,625","3,530","3,657","4,311","4,542","5,095","5,757","6,209","6,081","6,295","6,776","6,712","6,651","6,413","6,729","7,280","6,617","6,356","7,099","7,389","7,402","8,657","9,958","9,669","10,099","10,562","10,225","10,358","10,234","9,894","10,077","9,784","8,582","8,476","8,220","8,330","8,344","8,753","8,808","9,903","11,091","11,438","11,415","11,332","10,265","11,097","11,082","11,259","12,251","13,213","12,594","13,272","12,731","13,364","13,532","12,064","10,539","11,468","11,162","10,109","11,809","12,691","12,642","11,484","10,006","10,159","9,289","9,549","8,335","6,689","7,264","5,472","5,902","5,788","5,736","5,417","4,280","3,979","4,267","4,246","5,164","4,126","3,336","3,664","3,229","2,851","2,700","2,409","2,038","1,686","1,413","1,136","907","750","630","461","276","225","147","140","78","143"
"울산광역시  (3100000000)","576,217","576,217","3,083","3,186","3,725","4,063","4,663","5,386","5,728","5,709","5,568","6,191","5,942","5,958","5,656","5,798","6,123","5,419","5,375","5,682","6,081","5,709","6,839","7,688","7,223","7,435","7,695","8,086","8,171","8,147","8,143","8,161","7,868","7,328","7,392","7,191","7,024","7,187","7,374","7,645","8,520","9,616","10,003","10,066","9,745","8,755","9,016","8,732","8,691","9,480","9,662","9,934","10,575","10,357","10,624","10,977","10,277","10,734","10,843","10,270","9,652","10,753","10,843","10,320","9,470","8,574","8,052","7,304","7,129","6,080","5,299","5,322","4,100","4,043","3,796","3,794","3,387","2,473","2,047","2,070","2,094","2,306","1,609","1,356","1,258","995","776","626","533","477","342","246","161","123","105","61","40","28","12","16","18","4","4","545,375","545,375","2,843","3,229","3,585","3,876","4,271","4,959","5,373","5,353","5,368","5,859","5,495","5,450","5,148","5,374","5,741","5,000","4,740","5,048","5,311","4,940","5,410","6,150","5,719","5,708","6,021","5,887","6,245","6,194","6,142","6,358","6,651","5,860","6,148","5,872","6,122","6,308","6,546","7,029","8,127","9,083","9,210","9,423","9,183","7,673","8,602","8,010","8,631","9,302","9,939","9,897","10,617","10,585","10,824","11,154","10,787","9,569","10,265","9,566","8,832","9,795","10,438","10,144","9,157","8,277","8,025","7,247","7,439","5,850","5,415","5,390","4,163","4,055","3,898","3,833","3,624","2,605","2,276","2,698","2,666","3,096","2,317","2,173","2,055","1,864","1,648","1,498","1,388","1,165","987","806","667","479","438","341","258","170","143","97","71","44","63"
"세종특별자치시  (3600000000)","185,678","185,678","1,722","1,782","2,021","2,239","2,385","2,668","2,795","2,729","2,684","2,959","2,817","2,767","2,550","2,551","2,460","2,248","1,981","2,007","1,884","1,816","1,786","2,035","1,806","1,789","1,787","1,868","2,021","2,095","2,137","2,404","2,459","2,472","2,584","2,832","2,827","3,023","3,088","3,219","3,515","4,112","4,098","4,064","4,059","3,395","3,684","3,437","3,431","3,620","3,599","3,444","3,489","3,131","2,926","2,825","2,391","2,215","2,198","2,238","1,958","2,210","2,214","2,139","1,922","1,803","1,751","1,593","1,624","1,351","1,042","1,157","828","938","913","821","730","584","489","508","484","575","473","350","369","313","246","255","207","181","131","81","71","60","41","31","22","16","6","6","5","5","7","186,217","186,217","1,723","1,744","1,931","2,106","2,345","2,541","2,744","2,556","2,589","2,800","2,626","2,612","2,475","2,638","2,496","2,201","2,001","2,020","1,965","1,679","1,675","1,749","1,653","1,614","1,634","1,790","1,900","2,036","2,212","2,519","2,757","2,626","2,725","2,794","3,005","3,075","3,136","3,288","3,815","4,367","4,293","4,091","4,236","3,422","3,657","3,431","3,311","3,381","3,283","2,828","2,989","2,744","2,640","2,553","2,325","2,045","2,103","2,033","1,794","2,069","2,202","2,152","1,984","1,778","1,761","1,607","1,655","1,418","1,095","1,274","846","963","991","839","864","664","606","664","661","807","690","556","616","549","503","478","493","397","350","319","236","195","181","134","100","59","41","27","31","21","20"
"경기도  (4100000000)","6,827,298","6,827,298","38,164","41,419","46,334","50,287","55,073","61,965","66,542","65,562","65,007","72,386","69,919","69,723","65,579","68,417","71,288","65,010","61,733","66,900","69,381","70,113","78,044","89,900","86,216","89,056","93,539","96,678","101,535","103,490","103,349","106,016","102,480","93,824","91,294","92,394","89,622","92,174","95,617","96,637","109,585","119,992","122,810","121,937","118,672","105,267","110,387","109,557","111,208","120,507","122,854","125,033","130,261","125,649","123,561","120,846","109,442","109,423","110,468","109,367","102,023","111,587","110,816","110,471","99,556","92,164","86,722","76,267","76,188","64,644","54,019","59,435","37,953","41,903","41,718","41,559","41,340","33,366","28,811","28,006","26,790","31,364","24,713","20,551","19,591","16,744","14,386","12,168","10,283","8,181","6,068","4,991","3,457","2,704","2,224","1,529","1,022","698","455","387","363","240","348","6,738,152","6,738,152","36,635","40,002","43,998","48,054","51,618","59,235","63,498","62,925","62,189","69,034","66,650","65,941","62,423","65,249","68,281","61,670","58,678","63,683","65,211","65,156","72,782","81,908","79,248","82,065","86,560","86,832","89,223","89,513","89,263","93,052","91,925","83,661","84,807","84,850","85,042","85,899","90,811","91,595","104,063","114,175","117,662","116,475","115,922","98,436","109,191","104,530","108,640","115,794","121,471","119,820","125,689","121,464","122,763","121,521","112,774","100,895","108,693","105,457","96,872","106,089","109,463","109,083","98,474","90,115","86,457","77,860","80,268","66,734","57,538","63,327","41,817","46,914","46,952","46,906","48,583","39,740","35,214","36,262","36,151","42,224","35,289","30,670","30,728","27,568","24,965","22,694","20,941","17,425","14,223","12,309","9,430","8,291","6,839","5,472","4,112","2,720","2,063","1,365","1,190","802","1,412"
